FinalID,OriginalTraitValue,unique_id,Temps,logB0,E,E_h,E_l,T_h,T_l,one_over_kt,index_panda,B0
MTD2447,285.03886,6,306.15,5.66485469214677,3.39760645038517e-09,-1.69880322519259e-08,-1.69880322519259e-09,308.15,288.15,3552860.62434722,46,284.95886
MTD2447,284.95886,6,308.15,5.66485469214677,3.39760645038517e-09,-1.69880322519259e-08,-1.69880322519259e-09,308.15,288.15,3576070.55819891,47,284.95886
MTD2448,285.23886,7,288.15,5.66636233332429,3.79945479205755e-09,-1.89972739602877e-08,-1.89972739602877e-09,308.15,288.15,3343971.21968202,48,284.95886
MTD2448,285.26886,7,293.15,5.66636233332429,3.79945479205755e-09,-1.89972739602877e-08,-1.89972739602877e-09,308.15,288.15,3401996.05431124,49,284.95886
MTD2448,285.32886,7,298.15,5.66636233332429,3.79945479205755e-09,-1.89972739602877e-08,-1.89972739602877e-09,308.15,288.15,3460020.88894047,50,284.95886
MTD2448,285.30886,7,303.15,5.66636233332429,3.79945479205755e-09,-1.89972739602877e-08,-1.89972739602877e-09,308.15,288.15,3518045.72356969,51,284.95886
MTD2448,285.03886,7,306.15,5.66636233332429,3.79945479205755e-09,-1.89972739602877e-08,-1.89972739602877e-09,308.15,288.15,3552860.62434722,52,284.95886
MTD2448,284.95886,7,308.15,5.66636233332429,3.79945479205755e-09,-1.89972739602877e-08,-1.89972739602877e-09,308.15,288.15,3576070.55819891,53,284.95886
MTD2449,285.43886,8,288.15,5.64918739750242,1.46349936290362e-09,7.3174968145181e-09,7.3174968145181e-10,303.15,288.15,3343971.21968202,54,285.27886
MTD2449,285.42886,8,291.15,5.64918739750242,1.46349936290362e-09,7.3174968145181e-09,7.3174968145181e-10,303.15,288.15,3378786.12045956,55,285.27886
MTD2449,285.40886,8,294.15,5.64918739750242,1.46349936290362e-09,7.3174968145181e-09,7.3174968145181e-10,303.15,288.15,3413601.02123709,56,285.27886
MTD2449,285.57886,8,297.15,5.64918739750242,1.46349936290362e-09,7.3174968145181e-09,7.3174968145181e-10,303.15,288.15,3448415.92201462,57,285.27886
MTD2449,285.80886,8,300.15,5.64918739750242,1.46349936290362e-09,7.3174968145181e-09,7.3174968145181e-10,303.15,288.15,3483230.82279215,58,285.27886
MTD2449,285.27886,8,303.15,5.64918739750242,1.46349936290362e-09,7.3174968145181e-09,7.3174968145181e-10,303.15,288.15,3518045.72356969,59,285.27886
MTD2451,285.04186,9,278.15,5.65562286938222,8.46634059292575e-10,-4.23317029646287e-09,-4.23317029646287e-10,298.15,278.15,3227921.55042358,60,284.95886
MTD2451,285.08286,9,283.15,5.65562286938222,8.46634059292575e-10,-4.23317029646287e-09,-4.23317029646287e-10,298.15,278.15,3285946.3850528,61,284.95886
MTD2451,285.23886,9,288.15,5.65562286938222,8.46634059292575e-10,-4.23317029646287e-09,-4.23317029646287e-10,298.15,278.15,3343971.21968202,62,284.95886
MTD2451,285.10886,9,293.15,5.65562286938222,8.46634059292575e-10,-4.23317029646287e-09,-4.23317029646287e-10,298.15,278.15,3401996.05431124,63,284.95886
MTD2451,284.95886,9,298.15,5.65562286938222,8.46634059292575e-10,-4.23317029646287e-09,-4.23317029646287e-10,298.15,278.15,3460020.88894047,64,284.95886
MTD2452,285.05886,10,278.15,5.65445620991317,4.23732894144405e-10,-2.11866447072203e-09,-2.11866447072203e-10,298.15,278.15,3227921.55042358,65,284.95886
MTD2452,285.10886,10,283.15,5.65445620991317,4.23732894144405e-10,-2.11866447072203e-09,-2.11866447072203e-10,298.15,278.15,3285946.3850528,66,284.95886
MTD2452,285.41886,10,288.15,5.65445620991317,4.23732894144405e-10,-2.11866447072203e-09,-2.11866447072203e-10,298.15,278.15,3343971.21968202,67,284.95886
MTD2452,285.23886,10,293.15,5.65445620991317,4.23732894144405e-10,-2.11866447072203e-09,-2.11866447072203e-10,298.15,278.15,3401996.05431124,68,284.95886
MTD2452,284.95886,10,298.15,5.65445620991317,4.23732894144405e-10,-2.11866447072203e-09,-2.11866447072203e-10,298.15,278.15,3460020.88894047,69,284.95886
MTD2455,284.95886,11,282.55,5.64760362914754,1.52512487376153e-09,7.62562436880765e-09,7.62562436880765e-10,299.45,282.55,3278983.40489729,70,284.95886
MTD2455,285.01886,11,284.45,5.64760362914754,1.52512487376153e-09,7.62562436880765e-09,7.62562436880765e-10,299.45,282.55,3301032.8420564,71,284.95886
MTD2455,285.01886,11,284.55,5.64760362914754,1.52512487376153e-09,7.62562436880765e-09,7.62562436880765e-10,299.45,282.55,3302193.33874898,72,284.95886
MTD2455,285.10886,11,289.45,5.64760362914754,1.52512487376153e-09,7.62562436880765e-09,7.62562436880765e-10,299.45,282.55,3359057.67668562,73,284.95886
MTD2455,285.11886,11,289.55,5.64760362914754,1.52512487376153e-09,7.62562436880765e-09,7.62562436880765e-10,299.45,282.55,3360218.1733782,74,284.95886
MTD2455,285.17886,11,293.45,5.64760362914754,1.52512487376153e-09,7.62562436880765e-09,7.62562436880765e-10,299.45,282.55,3405477.544389,75,284.95886
MTD2455,285.16886,11,293.75,5.64760362914754,1.52512487376153e-09,7.62562436880765e-09,7.62562436880765e-10,299.45,282.55,3408959.03446675,76,284.95886
MTD2455,285.11886,11,296.65,5.64760362914754,1.52512487376153e-09,7.62562436880765e-09,7.62562436880765e-10,299.45,282.55,3442613.4385517,77,284.95886
MTD2455,285.10886,11,296.85,5.64760362914754,1.52512487376153e-09,7.62562436880765e-09,7.62562436880765e-10,299.45,282.55,3444934.43193687,78,284.95886
MTD2455,284.95886,11,299.45,5.64760362914754,1.52512487376153e-09,7.62562436880765e-09,7.62562436880765e-10,299.45,282.55,3475107.34594406,79,284.95886
MTD2456,284.95886,12,289.15,5.65100047598516,5.57309973565326e-10,2.78654986782663e-09,2.78654986782663e-10,310.15,289.15,3355576.18660787,80,284.95886
MTD2456,285.01886,12,292.15,5.65100047598516,5.57309973565326e-10,2.78654986782663e-09,2.78654986782663e-10,310.15,289.15,3390391.0873854,81,284.95886
MTD2456,285.09886,12,294.15,5.65100047598516,5.57309973565326e-10,2.78654986782663e-09,2.78654986782663e-10,310.15,289.15,3413601.02123709,82,284.95886
MTD2456,285.16886,12,296.15,5.65100047598516,5.57309973565326e-10,2.78654986782663e-09,2.78654986782663e-10,310.15,289.15,3436810.95508878,83,284.95886
MTD2456,285.20886,12,298.15,5.65100047598516,5.57309973565326e-10,2.78654986782663e-09,2.78654986782663e-10,310.15,289.15,3460020.88894047,84,284.95886
MTD2456,285.32886,12,300.15,5.65100047598516,5.57309973565326e-10,2.78654986782663e-09,2.78654986782663e-10,310.15,289.15,3483230.82279215,85,284.95886
MTD2456,285.29886,12,302.15,5.65100047598516,5.57309973565326e-10,2.78654986782663e-09,2.78654986782663e-10,310.15,289.15,3506440.75664384,86,284.95886
MTD2456,285.19886,12,304.15,5.65100047598516,5.57309973565326e-10,2.78654986782663e-09,2.78654986782663e-10,310.15,289.15,3529650.69049553,87,284.95886
MTD2456,285.14886,12,306.15,5.65100047598516,5.57309973565326e-10,2.78654986782663e-09,2.78654986782663e-10,310.15,289.15,3552860.62434722,88,284.95886
MTD2456,285.02886,12,308.15,5.65100047598516,5.57309973565326e-10,2.78654986782663e-09,2.78654986782663e-10,310.15,289.15,3576070.55819891,89,284.95886
MTD2456,284.95886,12,310.15,5.65100047598516,5.57309973565326e-10,2.78654986782663e-09,2.78654986782663e-10,310.15,289.15,3599280.4920506,90,284.95886
MTD2458,285.23886,13,277.15,5.59437661723211,1.82900174683849e-08,9.14500873419245e-08,9.14500873419245e-09,303.15,277.15,3216316.58349774,91,285.23886
MTD2458,285.40886,13,281.15,5.59437661723211,1.82900174683849e-08,9.14500873419245e-08,9.14500873419245e-09,303.15,277.15,3262736.45120111,92,285.23886
MTD2458,285.56886,13,285.15,5.59437661723211,1.82900174683849e-08,9.14500873419245e-08,9.14500873419245e-09,303.15,277.15,3309156.31890449,93,285.23886
MTD2458,285.95886,13,289.15,5.59437661723211,1.82900174683849e-08,9.14500873419245e-08,9.14500873419245e-09,303.15,277.15,3355576.18660787,94,285.23886
MTD2458,286.16886,13,293.15,5.59437661723211,1.82900174683849e-08,9.14500873419245e-08,9.14500873419245e-09,303.15,277.15,3401996.05431124,95,285.23886
MTD2458,286.81886,13,298.15,5.59437661723211,1.82900174683849e-08,9.14500873419245e-08,9.14500873419245e-09,303.15,277.15,3460020.88894047,96,285.23886
MTD2458,286.53886,13,303.15,5.59437661723211,1.82900174683849e-08,9.14500873419245e-08,9.14500873419245e-09,303.15,277.15,3518045.72356969,97,285.23886
MTD2460,284.99886,14,278.15,5.64147165656669,3.62268500155496e-09,1.81134250077748e-08,1.81134250077748e-09,298.15,278.15,3227921.55042358,98,284.99886
MTD2460,285.23886,14,283.15,5.64147165656669,3.62268500155496e-09,1.81134250077748e-08,1.81134250077748e-09,298.15,278.15,3285946.3850528,99,284.99886
MTD2460,285.52886,14,288.15,5.64147165656669,3.62268500155496e-09,1.81134250077748e-08,1.81134250077748e-09,298.15,278.15,3343971.21968202,100,284.99886
MTD2460,285.75886,14,293.15,5.64147165656669,3.62268500155496e-09,1.81134250077748e-08,1.81134250077748e-09,298.15,278.15,3401996.05431124,101,284.99886
MTD2460,285.03886,14,298.15,5.64147165656669,3.62268500155496e-09,1.81134250077748e-08,1.81134250077748e-09,298.15,278.15,3460020.88894047,102,284.99886
MTD2461,285.04886,15,278.15,5.62253489866274,9.48544514191499e-09,4.74272257095749e-08,4.74272257095749e-09,303.15,278.15,3227921.55042358,103,285.04886
MTD2461,285.28886,15,283.15,5.62253489866274,9.48544514191499e-09,4.74272257095749e-08,4.74272257095749e-09,303.15,278.15,3285946.3850528,104,285.04886
MTD2461,285.59886,15,288.15,5.62253489866274,9.48544514191499e-09,4.74272257095749e-08,4.74272257095749e-09,303.15,278.15,3343971.21968202,105,285.04886
MTD2461,285.83886,15,293.15,5.62253489866274,9.48544514191499e-09,4.74272257095749e-08,4.74272257095749e-09,303.15,278.15,3401996.05431124,106,285.04886
MTD2461,286.10886,15,298.15,5.62253489866274,9.48544514191499e-09,4.74272257095749e-08,4.74272257095749e-09,303.15,278.15,3460020.88894047,107,285.04886
MTD2461,285.60886,15,303.15,5.62253489866274,9.48544514191499e-09,4.74272257095749e-08,4.74272257095749e-09,303.15,278.15,3518045.72356969,108,285.04886
MTD2462,285.23886,16,275.15,5.64872486728273,1.82918464770125e-09,9.14592323850627e-09,9.14592323850627e-10,303.15,275.15,3193106.64964605,109,284.95886
MTD2462,285.37886,16,278.15,5.64872486728273,1.82918464770125e-09,9.14592323850627e-09,9.14592323850627e-10,303.15,275.15,3227921.55042358,110,284.95886
MTD2462,285.48886,16,281.15,5.64872486728273,1.82918464770125e-09,9.14592323850627e-09,9.14592323850627e-10,303.15,275.15,3262736.45120111,111,284.95886
MTD2462,285.68886,16,284.15,5.64872486728273,1.82918464770125e-09,9.14592323850627e-09,9.14592323850627e-10,303.15,275.15,3297551.35197865,112,284.95886
MTD2462,285.95886,16,287.15,5.64872486728273,1.82918464770125e-09,9.14592323850627e-09,9.14592323850627e-10,303.15,275.15,3332366.25275618,113,284.95886
MTD2462,286.00886,16,290.15,5.64872486728273,1.82918464770125e-09,9.14592323850627e-09,9.14592323850627e-10,303.15,275.15,3367181.15353371,114,284.95886
MTD2462,286.06886,16,290.15,5.64872486728273,1.82918464770125e-09,9.14592323850627e-09,9.14592323850627e-10,303.15,275.15,3367181.15353371,115,284.95886
MTD2462,286.02886,16,293.15,5.64872486728273,1.82918464770125e-09,9.14592323850627e-09,9.14592323850627e-10,303.15,275.15,3401996.05431124,116,284.95886
MTD2462,285.88886,16,298.15,5.64872486728273,1.82918464770125e-09,9.14592323850627e-09,9.14592323850627e-10,303.15,275.15,3460020.88894047,117,284.95886
MTD2462,284.95886,16,303.15,5.64872486728273,1.82918464770125e-09,9.14592323850627e-09,9.14592323850627e-10,303.15,275.15,3518045.72356969,118,284.95886
MTD2463,284.95886,17,275.15,5.64430565777547,3.07451734507165e-09,1.53725867253583e-08,1.53725867253583e-09,303.15,275.15,3193106.64964605,119,284.95886
MTD2463,285.57886,17,278.15,5.64430565777547,3.07451734507165e-09,1.53725867253583e-08,1.53725867253583e-09,303.15,275.15,3227921.55042358,120,284.95886
MTD2463,285.59886,17,283.15,5.64430565777547,3.07451734507165e-09,1.53725867253583e-08,1.53725867253583e-09,303.15,275.15,3285946.3850528,121,284.95886
MTD2463,285.83886,17,288.15,5.64430565777547,3.07451734507165e-09,1.53725867253583e-08,1.53725867253583e-09,303.15,275.15,3343971.21968202,122,284.95886
MTD2463,286.22886,17,293.15,5.64430565777547,3.07451734507165e-09,1.53725867253583e-08,1.53725867253583e-09,303.15,275.15,3401996.05431124,123,284.95886
MTD2463,286.04886,17,298.15,5.64430565777547,3.07451734507165e-09,1.53725867253583e-08,1.53725867253583e-09,303.15,275.15,3460020.88894047,124,284.95886
MTD2463,284.95886,17,303.15,5.64430565777547,3.07451734507165e-09,1.53725867253583e-08,1.53725867253583e-09,303.15,275.15,3518045.72356969,125,284.95886
MTD2464,285.32886,18,274.15,5.65688797269358,6.04258895394515e-10,-3.02129447697258e-09,-3.02129447697258e-10,300.65,274.15,3181501.6827202,126,284.95886
MTD2464,285.50886,18,277.65,5.65688797269358,6.04258895394515e-10,-3.02129447697258e-09,-3.02129447697258e-10,300.65,274.15,3222119.06696066,127,284.95886
MTD2464,285.84886,18,280.15,5.65688797269358,6.04258895394515e-10,-3.02129447697258e-09,-3.02129447697258e-10,300.65,274.15,3251131.48427527,128,284.95886
MTD2464,286.00886,18,282.15,5.65688797269358,6.04258895394515e-10,-3.02129447697258e-09,-3.02129447697258e-10,300.65,274.15,3274341.41812696,129,284.95886
MTD2464,285.84886,18,284.65,5.65688797269358,6.04258895394515e-10,-3.02129447697258e-09,-3.02129447697258e-10,300.65,274.15,3303353.83544157,130,284.95886
MTD2464,285.28886,18,287.35,5.65688797269358,6.04258895394515e-10,-3.02129447697258e-09,-3.02129447697258e-10,300.65,274.15,3334687.24614135,131,284.95886
MTD2464,286.23886,18,290.15,5.65688797269358,6.04258895394515e-10,-3.02129447697258e-09,-3.02129447697258e-10,300.65,274.15,3367181.15353371,132,284.95886
MTD2464,285.71886,18,293.45,5.65688797269358,6.04258895394515e-10,-3.02129447697258e-09,-3.02129447697258e-10,300.65,274.15,3405477.544389,133,284.95886
MTD2464,285.91886,18,295.15,5.65688797269358,6.04258895394515e-10,-3.02129447697258e-09,-3.02129447697258e-10,300.65,274.15,3425205.98816293,134,284.95886
MTD2464,285.80886,18,298.85,5.65688797269358,6.04258895394515e-10,-3.02129447697258e-09,-3.02129447697258e-10,300.65,274.15,3468144.36578856,135,284.95886
MTD2464,284.95886,18,300.65,5.65688797269358,6.04258895394515e-10,-3.02129447697258e-09,-3.02129447697258e-10,300.65,274.15,3489033.30625508,136,284.95886
MTD2466,285.17886,19,271.65,5.65243681964841,5.09101137530538e-10,2.54550568765269e-09,2.54550568765269e-10,293.15,271.65,3152489.26540559,137,285.05886
MTD2466,285.31886,19,273.15,5.65243681964841,5.09101137530538e-10,2.54550568765269e-09,2.54550568765269e-10,293.15,271.65,3169896.71579436,138,285.05886
MTD2466,285.52886,19,276.15,5.65243681964841,5.09101137530538e-10,2.54550568765269e-09,2.54550568765269e-10,293.15,271.65,3204711.61657189,139,285.05886
MTD2466,285.66886,19,279.15,5.65243681964841,5.09101137530538e-10,2.54550568765269e-09,2.54550568765269e-10,293.15,271.65,3239526.51734942,140,285.05886
MTD2466,285.91886,19,285.15,5.65243681964841,5.09101137530538e-10,2.54550568765269e-09,2.54550568765269e-10,293.15,271.65,3309156.31890449,141,285.05886
MTD2466,285.53886,19,289.15,5.65243681964841,5.09101137530538e-10,2.54550568765269e-09,2.54550568765269e-10,293.15,271.65,3355576.18660787,142,285.05886
MTD2466,285.05886,19,293.15,5.65243681964841,5.09101137530538e-10,2.54550568765269e-09,2.54550568765269e-10,293.15,271.65,3401996.05431124,143,285.05886
MTD2469,284.95886,20,279.15,5.64620511657753,2.04707422335887e-09,1.02353711167944e-08,1.02353711167944e-09,298.15,279.15,3239526.51734942,144,284.95886
MTD2469,284.97286,20,282.15,5.64620511657753,2.04707422335887e-09,1.02353711167944e-08,1.02353711167944e-09,298.15,279.15,3274341.41812696,145,284.95886
MTD2469,285.30186,20,285.15,5.64620511657753,2.04707422335887e-09,1.02353711167944e-08,1.02353711167944e-09,298.15,279.15,3309156.31890449,146,284.95886
MTD2469,285.34686,20,288.15,5.64620511657753,2.04707422335887e-09,1.02353711167944e-08,1.02353711167944e-09,298.15,279.15,3343971.21968202,147,284.95886
MTD2469,285.40086,20,293.15,5.64620511657753,2.04707422335887e-09,1.02353711167944e-08,1.02353711167944e-09,298.15,279.15,3401996.05431124,148,284.95886
MTD2469,284.95886,20,298.15,5.64620511657753,2.04707422335887e-09,1.02353711167944e-08,1.02353711167944e-09,298.15,279.15,3460020.88894047,149,284.95886
MTD2470,284.95886,21,279.15,5.651685874135,4.08365955339486e-10,2.04182977669743e-09,2.04182977669743e-10,298.15,279.15,3239526.51734942,150,284.95886
MTD2470,284.97286,21,282.15,5.651685874135,4.08365955339486e-10,2.04182977669743e-09,2.04182977669743e-10,298.15,279.15,3274341.41812696,151,284.95886
MTD2470,285.52786,21,285.15,5.651685874135,4.08365955339486e-10,2.04182977669743e-09,2.04182977669743e-10,298.15,279.15,3309156.31890449,152,284.95886
